Map_name,Map_url,VectorPackage_url,Tiff300_url
Capodacqua: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02/2,http://emergency.copernicus.eu/mapping/download/132078/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02_v2_300dpi.tif
Trisungo: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_03TRISUNGO_GRADING_OVERVIEW-MONIT02/2,http://emergency.copernicus.eu/mapping/download/132068/EMSR177_03TRISUNGO_GRADING_OVERVIEW-MONIT02_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_03TRISUNGO_GRADING_OVERVIEW-MONIT02_v2_300dpi.tif
Vezzano: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_02VEZZANO_GRADING_OVERVIEW-MONIT02/2,http://emergency.copernicus.eu/mapping/download/132058/EMSR177_02VEZZANO_GRADING_OVERVIEW-MONIT02_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_02VEZZANO_GRADING_OVERVIEW-MONIT02_v2_300dpi.tif
Capodacqua Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132016/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Arquata del Tronto Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW/3,http://emergency.copernicus.eu/mapping/download/132027/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW_v3_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW_v3_300dpi.tif
Amatrice Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132045/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Sant'Angelo Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/131962/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Illica Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/131985/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Saletta Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_18SALETTAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/131995/EMSR177_18SALETTAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_18SALETTAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Accumoli Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132005/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Amatrice Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW/3,http://emergency.copernicus.eu/mapping/download/132533/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v3_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v3_300dpi.tif
Sant'Angelo Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW/3,http://emergency.copernicus.eu/mapping/download/132573/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW_v3_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_26SANTANGELOAERIAL_GRADING_OVERVIEW_v3_300dpi.tif
Poggio Vitellino Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_21POGGIOVITELLINOAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132543/EMSR177_21POGGIOVITELLINOAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_21POGGIOVITELLINOAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
San Lorenzo e Flaviano Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_23SANLORENZOEFLAVIANOAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132553/EMSR177_23SANLORENZOEFLAVIANOAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_23SANLORENZOEFLAVIANOAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Rocchetta Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_24ROCCHETTAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132563/EMSR177_24ROCCHETTAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_24ROCCHETTAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
